Optimizer,Subspace,Opset,HP_Idx,TestAcc1,TestAcc5
darts,deep,all_skip,8,77.59999991455078,98.79
gdas,single_cell,regular,1,85.13999986572266,99.4
gdas,single_cell,regular,4,87.58999998779296,99.5
gdas,single_cell,regular,0,84.89000002441406,99.26
gdas,single_cell,regular,3,86.4600000366211,99.45
gdas,wide,all_skip,8,86.60000004882812,99.46000004882812
gdas,wide,all_skip,7,85.03999986572266,99.39
sdarts,deep,all_skip,7,67.88999997558594,97.29999998779296
gdas,single_cell,regular,7,82.44,99.11
sdarts,deep,all_skip,8,71.33000006103515,97.96999998779296
pcdarts,wide,regular,6,83.81999986572265,99.33
pcdarts,single_cell,regular,5,89.54000001220703,99.68
pcdarts,deep,no_skip,6,62.58000001220703,96.51999991455078
pcdarts,deep,all_skip,2,87.15999989013672,99.48000004882812
oles,wide,all_skip,3,89.71999990234374,99.63
oles,deep,no_skip,8,77.74000006103516,98.77999989013672
darts,deep,all_skip,6,71.86999995117188,97.9100000366211
darts,deep,all_skip,7,72.88999991455078,98.18999998779296
oles,deep,regular,3,88.40999995117187,99.67
oles,wide,regular,8,86.22999989013672,99.48
sdarts,single_cell,no_skip,6,79.12999991455078,98.91
pcdarts,deep,all_skip,8,76.94000004882813,98.78999989013673
fairdarts,single_cell,regular,5,88.67999998779297,99.61
pcdarts,single_cell,no_skip,5,89.16000004882812,99.61
drnas,wide,regular,5,90.94000002441406,99.76
sdarts,wide,regular,5,89.80000001220704,99.68
fairdarts,single_cell,all_skip,5,87.27999997558594,99.66
pcdarts,deep,all_skip,7,73.73000002441407,98.16999998779296
fairdarts,deep,no_skip,8,73.60000001220703,98.26999989013672
pcdarts,wide,no_skip,7,85.09000002441407,99.33
pcdarts,wide,no_skip,8,86.9300000366211,99.58
drnas,deep,all_skip,0,80.10999987792968,99.06
pcdarts,deep,regular,3,86.82999997558593,99.47999989013672
oles,deep,regular,0,85.38999985351562,99.44
fairdarts,single_cell,no_skip,0,82.85999990234374,99.21
gdas,wide,all_skip,0,87.89000003662109,99.59
fairdarts,deep,no_skip,1,82.15000004882812,99.17
drnas,wide,all_skip,0,85.53999995117188,99.39000004882811
gdas,wide,no_skip,0,87.94000004882813,99.59
fairdarts,single_cell,all_skip,4,87.21999991455078,99.59
pcdarts,single_cell,all_skip,5,89.24999985351562,99.61
sdarts,wide,no_skip,7,85.05,99.35
oles,wide,regular,4,90.29999986572264,99.65
sdarts,single_cell,all_skip,7,77.76999991455078,98.76
fairdarts,wide,regular,4,89.63999986572266,99.72
darts,wide,all_skip,7,79.64999991455078,99.00000004882811
darts,single_cell,all_skip,7,80.06000002441407,99.05
fairdarts,wide,no_skip,4,90.30999986572266,99.76
pcdarts,deep,no_skip,4,85.31999997558594,99.31
oles,wide,all_skip,5,90.55999997558594,99.73
oles,deep,all_skip,4,85.69999995117188,99.48
darts,deep,no_skip,3,85.69999987792968,99.43
gdas,deep,all_skip,8,77.94000006103515,98.85
oles,deep,no_skip,4,88.47999993896484,99.6
sdarts,deep,no_skip,4,86.61999986572266,99.48000004882812
gdas,deep,all_skip,5,87.33000003662109,99.51
gdas,deep,all_skip,7,74.20999997558594,98.39999993896484
gdas,deep,all_skip,6,72.18000001220703,98.09999993896484
gdas,deep,all_skip,4,86.49999986572266,99.41
gdas,deep,all_skip,3,84.08999990234375,99.33
gdas,deep,all_skip,2,85.06000002441407,99.42000004882811
gdas,deep,all_skip,1,81.92999993896484,99.09000004882812
gdas,deep,all_skip,0,80.05999995117187,98.9
fairdarts,deep,all_skip,4,86.58999987792969,99.38000004882812
gdas,single_cell,regular,8,83.7700000366211,99.19
drnas,deep,no_skip,8,80.80000002441406,99.07
drnas,deep,all_skip,8,76.2400000366211,98.54999993896485
pcdarts,deep,all_skip,6,70.15,97.56999989013671
fairdarts,deep,all_skip,8,74.34,98.30999998779296
darts,deep,no_skip,8,79.47000002441406,99.04000004882812
fairdarts,deep,no_skip,7,66.90999996337891,97.5599999267578
sdarts,deep,no_skip,8,73.67999986572265,98.31999998779295
gdas,deep,regular,8,83.64000004882813,99.24999989013672
drnas,deep,all_skip,7,69.97999995117188,97.59999987792968
drnas,deep,no_skip,7,74.28000004882813,98.24999989013672
gdas,single_cell,regular,6,81.92999992675782,99.07
darts,deep,no_skip,7,71.05999986572266,97.70999987792968
pcdarts,deep,all_skip,5,88.83999990234375,99.75
fairdarts,deep,all_skip,7,71.39999991455078,97.93999989013672
fairdarts,deep,no_skip,6,66.07999995727539,96.98999997558592
oles,deep,no_skip,7,71.62999989013672,98.06000004882812
sdarts,deep,no_skip,7,64.15999994506836,96.4900000366211
gdas,deep,regular,7,80.63999986572266,98.96000004882812
pcdarts,deep,no_skip,8,70.66000006103516,97.96999993896485
gdas,single_cell,regular,5,87.71999993896485,99.43
gdas,wide,regular,8,86.90999986572265,99.55
drnas,deep,all_skip,6,71.90999990234376,98.0500000366211
drnas,deep,no_skip,6,72.57000004882812,98.06999989013671
darts,deep,no_skip,6,72.77999995117187,98.06999993896484
fairdarts,deep,all_skip,6,68.4399999267578,97.09999997558592
oles,deep,no_skip,6,69.68999993896485,97.71000004882812
fairdarts,deep,no_skip,5,88.05999987792968,99.53
sdarts,deep,no_skip,6,65.57,96.67999992675782
drnas,wide,all_skip,8,84.6199999633789,99.35000004882812
drnas,deep,regular,8,84.21999985351563,99.27000004882812
gdas,deep,regular,6,79.18000001220703,98.96000004882812
pcdarts,deep,all_skip,4,87.9,99.51
pcdarts,deep,no_skip,7,63.21999998779297,96.2999999267578
gdas,wide,all_skip,6,84.31000001220703,99.43
drnas,wide,no_skip,8,86.47000003662109,99.39
gdas,wide,regular,7,85.46999996337891,99.36000004882813
sdarts,single_cell,no_skip,8,81.39999998779297,99.11
darts,deep,regular,8,83.37999997558593,99.24000004882812
gdas,single_cell,all_skip,8,83.41999989013672,99.31
oles,deep,regular,5,90.71,99.79
drnas,deep,all_skip,5,88.02000001220703,99.65
drnas,deep,no_skip,5,89.48999995117188,99.76
darts,wide,regular,8,86.27000002441406,99.53000004882811
drnas,single_cell,no_skip,8,84.72999995117188,99.38
drnas,wide,all_skip,7,82.17000003662109,99.27
drnas,deep,regular,7,82.26999987792969,99.17999989013671
darts,deep,no_skip,5,87.34999998779297,99.54
fairdarts,single_cell,no_skip,8,81.30000002441406,99.11
sdarts,single_cell,no_skip,7,79.58999993896484,98.94000004882813
gdas,wide,regular,6,85.34999991455078,99.38
gdas,deep,regular,5,89.68000002441406,99.65
drnas,wide,no_skip,7,85.21000001220703,99.42
fairdarts,deep,all_skip,5,87.04999997558593,99.56999989013671
gdas,single_cell,all_skip,7,81.55999993896485,99.16000004882812
sdarts,deep,no_skip,5,87.06000003662109,99.57
oles,wide,regular,7,84.93999997558593,99.44
oles,deep,no_skip,5,88.84999990234375,99.59
gdas,wide,all_skip,5,91.76000002441408,99.82
darts,deep,regular,7,81.12000001220703,99.07000004882812
fairdarts,deep,no_skip,4,88.14999989013671,99.61
oles,deep,all_skip,5,85.20999990234375,99.45
pcdarts,deep,no_skip,5,86.02000001220703,99.43
oles,deep,regular,4,89.23000004882813,99.68
pcdarts,deep,all_skip,3,87.06999997558594,99.53
darts,wide,regular,7,84.88000001220703,99.39
sdarts,deep,all_skip,6,66.06999995117188,97.1200000366211
darts,deep,all_skip,5,88.33999989013672,99.52
drnas,single_cell,no_skip,7,84.13999995117187,99.37000004882812
gdas,wide,no_skip,5,91.88000002441406,99.77000004882812
fairdarts,single_cell,no_skip,7,80.09000006103516,99.04000004882812
drnas,wide,all_skip,6,82.34999993896484,99.12000004882812
drnas,deep,regular,6,80.01999986572265,99.2
gdas,wide,regular,5,91.29999996337892,99.8
drnas,deep,all_skip,4,87.10000004882812,99.57
gdas,single_cell,all_skip,6,80.92999986572265,98.98
drnas,wide,no_skip,6,84.16999991455079,99.22
drnas,deep,no_skip,4,89.27999990234375,99.7
pcdarts,deep,regular,8,80.23999997558593,99.07
oles,wide,regular,6,84.42999997558594,99.29
gdas,deep,regular,4,89.04999990234376,99.62
darts,deep,regular,6,80.49000002441406,99.09000004882812
darts,deep,no_skip,4,87.03999986572266,99.5
fairdarts,wide,all_skip,5,90.07999997558592,99.74000004882812
darts,wide,regular,6,83.99999998779298,99.25
drnas,single_cell,no_skip,6,83.39999995117188,99.25
gdas,wide,all_skip,4,90.8999999633789,99.75000004882811
fairdarts,single_cell,no_skip,6,79.38,99.00000004882811
gdas,wide,no_skip,4,91.17999992675782,99.72000004882813
sdarts,deep,all_skip,5,81.71999987792968,99.06999989013671
pcdarts,wide,all_skip,8,86.83999986572266,99.42
fairdarts,deep,no_skip,3,85.21999991455078,99.38000004882812
darts,deep,all_skip,4,87.45999997558594,99.52
drnas,wide,all_skip,5,89.75999985351562,99.68000004882812
gdas,single_cell,all_skip,5,87.52999992675781,99.52
sdarts,wide,all_skip,8,85.56999997558594,99.44
sdarts,deep,regular,8,82.06999990234375,99.18000004882812
gdas,wide,regular,4,90.65000002441408,99.7
drnas,wide,no_skip,5,91.1999999145508,99.75
drnas,deep,regular,5,89.74999990234375,99.65
darts,wide,no_skip,8,86.48999997558593,99.42
darts,wide,all_skip,8,81.41999993896485,99.12
sdarts,wide,no_skip,8,86.53000001220703,99.53
oles,single_cell,all_skip,5,87.69999992675781,99.62000004882812
oles,wide,regular,5,90.6299999633789,99.79
fairdarts,wide,no_skip,5,91.00999985351562,99.74
fairdarts,wide,regular,5,90.72999990234376,99.72
sdarts,single_cell,all_skip,8,79.17999986572265,98.87
darts,single_cell,all_skip,8,82.05000002441406,99.16
darts,deep,regular,5,88.48999990234375,99.63000004882812
drnas,single_cell,no_skip,5,88.94999993896485,99.60000004882812
darts,wide,regular,5,90.41000001220704,99.69
pcdarts,deep,regular,7,75.31999987792969,98.45999989013671
fairdarts,single_cell,no_skip,5,85.97999997558594,99.47
darts,single_cell,regular,8,74.21999996337891,98.31000004882812
fairdarts,wide,all_skip,4,89.58999991455079,99.74
oles,single_cell,no_skip,5,80.30000006103515,99.05
drnas,deep,all_skip,3,85.79999993896485,99.42
sdarts,single_cell,regular,8,79.27999990234375,98.92
drnas,deep,no_skip,3,88.07999990234374,99.62
darts,single_cell,no_skip,8,70.43,97.94999993896484
gdas,deep,regular,3,87.87999995117187,99.46
gdas,wide,all_skip,3,90.31999985351564,99.7
gdas,wide,no_skip,3,90.38999987792968,99.67
gdas,single_cell,all_skip,4,87.62999989013672,99.48
drnas,wide,all_skip,4,89.25000002441406,99.72
sdarts,deep,all_skip,4,80.97999991455079,98.97
gdas,wide,regular,3,89.62000004882813,99.71
pcdarts,wide,all_skip,7,84.83999991455079,99.29
drnas,wide,no_skip,4,90.78999986572266,99.70000004882812
gdas,single_cell,regular,2,86.64999993896484,99.5
oles,deep,no_skip,3,87.07999993896485,99.54000004882812
pcdarts,deep,no_skip,3,82.28999997558594,99.14
oles,wide,all_skip,4,90.60999997558594,99.76
oles,deep,all_skip,3,84.20999995117188,99.41000004882812
sdarts,deep,no_skip,3,84.35000004882812,99.34
fairdarts,deep,all_skip,3,85.12999995117187,99.43
drnas,deep,regular,4,88.79999998779297,99.65
sdarts,wide,all_skip,7,83.72999998779297,99.31
sdarts,deep,regular,7,78.35999991455078,98.73999989013672
darts,deep,all_skip,3,86.22999991455079,99.54
darts,wide,no_skip,7,84.3999999633789,99.28
oles,single_cell,all_skip,4,88.41999993896485,99.59
drnas,single_cell,no_skip,4,88.36999992675781,99.57
pcdarts,wide,regular,8,85.86999992675781,99.45
fairdarts,single_cell,no_skip,4,85.74999986572266,99.46
darts,deep,regular,4,88.13,99.59
darts,single_cell,regular,7,73.23,98.27999998779296
darts,wide,regular,4,90.25999991455078,99.7
oles,single_cell,no_skip,4,80.21000006103516,98.97999989013672
sdarts,single_cell,regular,7,77.32,98.75000004882811
darts,single_cell,no_skip,7,69.94000004882813,97.85999993896483
fairdarts,deep,no_skip,2,86.40999996337891,99.43
pcdarts,deep,regular,6,74.99999997558594,98.43
fairdarts,wide,all_skip,3,88.38999990234375,99.66
gdas,deep,no_skip,5,86.53999991455078,99.46000004882812
drnas,single_cell,all_skip,5,89.22999995117188,99.63
drnas,single_cell,regular,5,88.16000004882812,99.54
oles,single_cell,regular,5,84.08999991455079,99.29
oles,wide,no_skip,5,91.16000001220704,99.75
fairdarts,deep,regular,5,90.85000002441406,99.78000004882811
gdas,single_cell,all_skip,3,85.90000001220703,99.42
gdas,wide,no_skip,2,90.20999986572264,99.74
gdas,wide,all_skip,2,90.20999997558594,99.65
gdas,wide,regular,2,89.62999986572265,99.66000004882812
gdas,deep,regular,2,87.91999985351562,99.63
drnas,single_cell,no_skip,3,87.71999997558594,99.53
drnas,wide,no_skip,3,90.17999995117188,99.7
drnas,wide,all_skip,3,88.24999985351562,99.72
drnas,deep,no_skip,2,87.78999987792969,99.60000004882812
drnas,deep,all_skip,2,86.58000003662109,99.50000004882811
drnas,deep,regular,3,87.89999998779297,99.48000004882812
fairdarts,single_cell,no_skip,3,85.12999991455078,99.31
oles,single_cell,no_skip,3,79.52999996337891,99.00000004882811
darts,single_cell,no_skip,6,70.21999997558594,97.84999993896484
sdarts,wide,all_skip,6,83.35999989013672,99.2
pcdarts,wide,all_skip,6,84.25999997558594,99.4
pcdarts,wide,regular,7,84.58000001220704,99.35
sdarts,deep,all_skip,3,79.78000002441406,98.84999989013671
sdarts,deep,regular,6,78.35000006103516,98.79999989013672
sdarts,single_cell,all_skip,6,76.6499999633789,98.59000004882812
oles,single_cell,all_skip,3,86.82999986572266,99.44
darts,wide,all_skip,6,78.7,98.91000004882812
fairdarts,wide,no_skip,3,89.3,99.71
darts,wide,no_skip,6,84.08000001220704,99.3
darts,single_cell,all_skip,6,79.77999996337891,98.99000004882812
sdarts,wide,no_skip,6,83.70999993896484,99.35
pcdarts,wide,no_skip,6,84.8399999633789,99.39
darts,single_cell,regular,6,73.01,98.22999993896484
sdarts,single_cell,regular,6,76.08999990234375,98.62999989013672
fairdarts,wide,regular,3,88.99,99.69
oles,wide,regular,3,89.44000002441406,99.59
darts,wide,regular,3,89.34999991455078,99.70000004882812
sdarts,deep,no_skip,2,84.91999997558594,99.34
pcdarts,deep,no_skip,2,82.25999998779297,99.17
darts,deep,regular,3,87.06999989013671,99.62
oles,deep,no_skip,2,86.52999989013672,99.52
darts,deep,no_skip,2,85.73999991455078,99.48
fairdarts,deep,all_skip,2,84.92999985351562,99.38000004882812
oles,deep,all_skip,2,83.99999989013672,99.38000004882812
darts,deep,all_skip,2,85.83999991455079,99.29999989013672
pcdarts,deep,regular,5,90.02999991455079,99.75
gdas,single_cell,all_skip,2,87.06999992675782,99.6
fairdarts,wide,all_skip,2,88.79999995117187,99.58
drnas,wide,all_skip,2,88.28000004882813,99.65
sdarts,deep,all_skip,2,79.60999990234374,98.83999998779296
drnas,wide,no_skip,2,89.94000002441406,99.65
gdas,single_cell,no_skip,5,87.00999992675781,99.49
pcdarts,wide,all_skip,5,91.65999986572264,99.74
drnas,single_cell,no_skip,2,87.93000002441406,99.58
drnas,deep,regular,2,88.41999990234375,99.45
oles,deep,regular,2,88.69999990234375,99.56
sdarts,deep,regular,5,87.72999989013672,99.65
sdarts,wide,all_skip,5,90.54999985351564,99.8
sdarts,single_cell,no_skip,5,85.57000002441406,99.38000004882812
gdas,deep,no_skip,4,85.31999995117188,99.39
drnas,single_cell,all_skip,4,88.53000004882813,99.53000004882811
drnas,single_cell,regular,4,87.17999987792969,99.43
sdarts,single_cell,all_skip,5,84.49999993896485,99.24
oles,single_cell,all_skip,2,86.52999987792968,99.45
